Time,Station,Temperature,Moisture,Light,Wind Direction,PM2.5,PM10,CO,NOx,SO2
31/08/2023 20:30:00,SVDT1,26.3,98.4,0,92,1.1,11.5,2,0,0
31/08/2023 20:29:00,SVDT1,26.3,98.4,0,152,0.8,0.9,2,0,0
31/08/2023 20:28:00,SVDT1,26.3,98.4,0,168,1.4,3.1,2,0,0
31/08/2023 20:27:00,SVDT1,26.3,98.4,0,89,1.5,3.5,2,0,0
31/08/2023 20:26:00,SVDT1,26.3,98.4,0,123,1.1,1.6,2,0,0
31/08/2023 20:25:00,SVDT1,26.3,98.3,0,203,1,2.3,2,0,0
31/08/2023 20:24:00,SVDT1,26.3,98.3,0,133,0.9,2.5,2,0,0
31/08/2023 20:23:00,SVDT1,26.3,98.3,0,130,1.2,5.6,2,0,0
31/08/2023 20:22:00,SVDT1,26.3,98.3,0,130,1,4.5,2,0,0
31/08/2023 20:21:00,SVDT1,26.4,98.3,0,169,1,6.2,2,0,0
31/08/2023 20:20:00,SVDT1,26.4,98.2,0,98,1.2,2.3,2,0,0
31/08/2023 20:19:00,SVDT1,26.4,98.2,0,93,1.8,5.8,2,0,0
31/08/2023 20:18:00,SVDT1,26.4,98.2,0,92,1,1.5,2,0,0
31/08/2023 20:17:00,SVDT1,26.4,98.2,0,152,0.9,4.2,2,0,0
31/08/2023 20:16:00,SVDT1,26.4,98.1,0,87,0.8,2.7,2,0,0
31/08/2023 20:15:00,SVDT1,26.4,98.1,0,105,0.8,3.5,2,0,0
31/08/2023 20:14:00,SVDT1,26.4,98.1,0,135,1,1.8,2,0,0
31/08/2023 20:13:00,SVDT1,26.5,98.1,0,77,1.5,2.4,2,0,0
31/08/2023 20:12:00,SVDT1,26.5,98.1,0,91,0.8,1.1,2,0,0
31/08/2023 20:11:00,SVDT1,26.5,98.1,0,82,0.6,0.9,2,0,0
31/08/2023 20:10:00,SVDT1,26.5,98.1,0,108,1.3,2.1,2,0,0
31/08/2023 20:09:00,SVDT1,26.5,98.1,0,90,1.1,3.2,2,0,0
31/08/2023 20:08:00,SVDT1,26.5,98.1,0,109,1.4,4.1,2,0,0
31/08/2023 20:07:00,SVDT1,26.5,98,0,106,1.4,2.4,2,0,0
31/08/2023 20:06:00,SVDT1,26.5,98,0,98,1.3,2.6,2,0,0
31/08/2023 20:05:00,SVDT1,26.5,98,0,111,0.9,1.4,2,0,0
31/08/2023 20:04:00,SVDT1,26.5,98,0,102,1,11.8,2,0,0
31/08/2023 20:03:00,SVDT1,26.5,98,0,113,1.4,6.5,2,0,0
31/08/2023 20:02:00,SVDT1,26.5,98,0,101,0.9,1.5,2,0,0
31/08/2023 20:01:00,SVDT1,26.5,97.9,0,91,0.9,10.9,2,0,0
31/08/2023 20:00:00,SVDT1,26.5,97.9,0,164,1.3,3.2,2,0,0
31/08/2023 19:59:00,SVDT1,26.5,97.9,0,144,1.4,9.6,2,0,0
31/08/2023 19:58:00,SVDT1,26.5,97.9,0,145,1.4,4.2,2,0,0
31/08/2023 19:57:00,SVDT1,26.5,97.8,0,230,1.7,12.7,2,0,0
31/08/2023 19:56:00,SVDT1,26.5,97.8,0,106,1.2,2.3,2,0,0
31/08/2023 19:55:00,SVDT1,26.5,97.8,0,208,1.1,2.1,2,0,0
31/08/2023 19:54:00,SVDT1,26.5,97.8,0,47,1.1,1.8,2,0,0
31/08/2023 19:53:00,SVDT1,26.5,97.7,0,72,1.5,2.6,2,0,0
31/08/2023 19:52:00,SVDT1,26.5,97.7,0,170,0.8,1.9,2,0,0
31/08/2023 19:51:00,SVDT1,26.5,97.7,0,78,0.7,1.3,2,0,0
31/08/2023 19:50:00,SVDT1,26.5,97.7,0,88,0.4,0.4,2,0,0
31/08/2023 19:49:00,SVDT1,26.5,97.6,0,72,1,1.4,2,0,0
31/08/2023 19:48:00,SVDT1,26.6,97.6,0,178,1.7,5.3,2,0,0
31/08/2023 19:47:00,SVDT1,26.6,97.5,0,95,1,1.6,2,0,0
31/08/2023 19:46:00,SVDT1,26.6,97.5,0,98,1.4,2.7,2,0,0
